file_name,tanggal_data,wmo_id,station_name,status
D96935_2025042100IUSG.BIN,2025-04-21 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
P2096805A2025042100GTS.X,2025-04-21 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
A_IUKG53WAGI210000_C_WIIX202504210000.bfr,-,-,-,Format tidak dikenali
A_IUSG51WIMM210000_C_WIIX_20250421003941.BIN,-,-,-,Format tidak dikenali
A_IUKG52WIIL2100_C_WIIL202504210000.bfr,2025-04-21 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D97560_2025042100IUKG.BIN,2025-04-21 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
P2096147A202504210000.X,A-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
A_IUSG53WAGI210000_C_WIIX202504210000.bin,-,-,-,Format tidak dikenali
A_IUKG55WASS210000_C_WIIX202504210000.bfr,-,-,-,Format tidak dikenali
A_IUKG54WAPP210000_C_WIIX_20250421003046.BIN,-,-,-,Format tidak dikenali
D97560_2025042100.X,2025-04-21 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
A_IUKG52WIKK210000_C_WIIX_20250421003252.BIN,-,-,-,Format tidak dikenali
A_IUSG52WIIL210000_C_WIIX202504210000.bin,-,-,-,Format tidak dikenali
T2096147A202504210000.X,A-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
A_IUSG55WASS210000_C_WIIX202504210000.bin,-,-,-,Format tidak dikenali
D97980_2025042100.X,2025-04-21 00:00,97980,WAKK_Stasiun Meteorologi Mopah,Dikenali
D96237_2025042100.X,2025-04-21 00:00,96237,WIKK_Stasiun Meteorologi Depati Amir,Dikenali
T2096645A202504210000.X,A-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
A_IUSG51WION210000_C_WIIX202504210000.bin,-,-,-,Format tidak dikenali
A_IUKG51WIMM210000_C_WIIX_20250421003026.BIN,-,-,-,Format tidak dikenali
A_IUKG54WAAA210000_C_WIIX_20250421002415.BIN,-,-,-,Format tidak dikenali
P2097502A202504210000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
A_IUSG54WAAA210000_C_WIIX_20250421005023.BIN,-,-,-,Format tidak dikenali
T2096805A2025042100GTS.X,2025-04-21 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96035_2025042100.X,2025-04-21 00:00,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96935_2025042100.X,2025-04-21 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
D97560_2025042100IUSG.BIN,2025-04-21 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
A_IUSG54WAPP210000_C_WIIX_20250421003917.BIN,-,-,-,Format tidak dikenali
96505_1_210000.X,-,-,-,Format tidak dikenali
D97724_2025042100.X,2025-04-21 00:00,97724,WAPP_Stasiun Meteorologi Pattimura,Dikenali
A_IUSG52WIKK210000_C_WIIX_20250421005604.BIN,-,-,-,Format tidak dikenali
D97980_2025042100IUSG.BIN,2025-04-21 00:00,97980,WAKK_Stasiun Meteorologi Mopah,Dikenali
A_IUKG51WION210000_C_WIIX202504210000.bfr,-,-,-,Format tidak dikenali
D97980_2025042100IUKG.BIN,2025-04-21 00:00,97980,WAKK_Stasiun Meteorologi Mopah,Dikenali
D96935_2025042100IUKG.BIN,2025-04-21 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
D97180_2025042100.X,2025-04-21 00:00,97180,WAAA_Stasiun Meteorologi Sultan Hasanuddin,Dikenali
P2096645A202504210000.X,A-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2097502A202504210000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
