file_name,tanggal_data,wmo_id,station_name,status
D96011_202504140000.bfr,2025041400,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
UPT_TEST2.X,-,-,-,Format tidak dikenali
D96935_2025041400IUKG.BIN,2025041400,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
P2096509D2025041400.X,-,-,-,Format tidak dikenali
D97560_2025041400.DAT,2025041400,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
T2096011A202504140000.X,2025-04-14 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2097502D202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2097502D202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2096011D202504140000.X,2025-04-14 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2096509B2025041400.X,-,-,-,Format tidak dikenali
P2096645A202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D96805_2025041400.bfr,2025041400,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
PB96805_2025041400.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96645_202504140000.bfr,2025041400,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D97502_202504140000.bin,2025041400,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D96509_202504140000.bfr,2025041400,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
T2096147B202504140000.X,2025-04-14 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96645_202504140000.bin,2025041400,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2097502C202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D97560_2025041400IUSG.BIN,2025041400,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
TES1.DAT,-,-,-,Format tidak dikenali
T2096645A202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D97560_2025041400IUKG.BIN,2025041400,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
