file_name,tanggal_data,wmo_id,station_name,status
A_IUSG51WION290000_C_WIIX_20250429000000.bin,-,-,-,Format tidak dikenali
A_IUKG53WARR290000_C_WIIX_20250429002830.BIN,-,-,-,Format tidak dikenali
D97560_2025042900.X,2025-04-29 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
D97980_2025042900.X,2025-04-29 00:00,97980,WAKK_Stasiun Meteorologi Mopah,Dikenali
A_IUSG51WIMM290000_C_WIIX_20250429010236.BIN,-,-,-,Format tidak dikenali
A_IUKG55WASS290000_C_WIIX_20250429000000.bfr,-,-,-,Format tidak dikenali
A_IUKG51WION290000_C_WIIX_20250429000000.bfr,-,-,-,Format tidak dikenali
A_IUSG51WITT290000_C_WIIX_20250429000000.bin,-,-,-,Format tidak dikenali
D97180_2025042900.X,2025-04-29 00:00,97180,WAAA_Stasiun Meteorologi Sultan Hasanuddin,Dikenali
P2096805A2025042900GTS.X,2025-04-29 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
T2097502A202504290000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D96581_2025042900.X,2025-04-29 00:00,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
T2096645A202504290000.X,A-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
A_IUKG52WIIL290000_C_WIIX_20250429000000.bfr,-,-,-,Format tidak dikenali
T2096805A2025042900GTS.X,2025-04-29 00:,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
A_IUKG53WAQQ290000_C_WIIX_20250429000000.bfr,-,-,-,Format tidak dikenali
P2097502A202504290000.X,A-- :,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D96749_2025042900.X,2025-04-29 00:00,96749,WIII_Stasiun Meteorologi Soekarno Hatta,Dikenali
A_IUSG55WASS290000_C_WIIX_20250429000000.bin,-,-,-,Format tidak dikenali
P2096645A202504290000.X,A-- :,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
A_IUSG52WIOO290000_C_WIIX_20250429005317.BIN,-,-,-,Format tidak dikenali
A_IUKG55WABB290000_C_WIIX_20250429002803.BIN,-,-,-,Format tidak dikenali
A_IUKG52WIOO290000_C_WIIX_20250429002914.BIN,-,-,-,Format tidak dikenali
D96935_2025042900.X,2025-04-29 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
A_IUSG53WARR290000_C_WIIX_20250429004931.BIN,-,-,-,Format tidak dikenali
D96035_2025042900.X,2025-04-29 00:00,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
P2096147A202504290000.X,A-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
A_IUKG51WIMM290000_C_WIIX_20250429003205.BIN,-,-,-,Format tidak dikenali
A_IUKG51WITT290000_C_WIIX_20250429000000.bfr,-,-,-,Format tidak dikenali
T2096147A202504290000.X,A-- :,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
A_IUKG53WAGI290000_C_WIIX_20250429000000.bfr,-,-,-,Format tidak dikenali
A_IUSG55WABB290000_C_WIIX_20250429005227.BIN,-,-,-,Format tidak dikenali
A_IUSG55WAKK290000_C_WIIX_20250429010121.BIN,-,-,-,Format tidak dikenali
A_IUSG52WIII290000_C_WIIX_20250429000827.BIN,-,-,-,Format tidak dikenali
T2096509A2025042900.X,2025-04-29 00:,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
P2096509A2025042900.X,2025-04-29 00:,96509,WAQQ_Stasiun Meteorologi Juwata,Dikenali
A_IUSG54WAAA290000_C_WIIX_20250429010244.BIN,-,-,-,Format tidak dikenali
T2096011A202504290000.X,A-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
A_IUKG54WAAA290000_C_WIIX_20250429003321.BIN,-,-,-,Format tidak dikenali
A_IUSG53WAGI290000_C_WIIX_20250429000000.bin,-,-,-,Format tidak dikenali
A_IUSG52WIIL290000_C_WIIX_20250429000000.bin,-,-,-,Format tidak dikenali
A_IUSG53WAQQ290000_C_WIIX_20250429000000.bin,-,-,-,Format tidak dikenali
P2096011A202504290000.X,A-- :,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
A_IUKG55WAKK290000_C_WIIX_20250429003335.BIN,-,-,-,Format tidak dikenali
