file_name,tanggal_data,wmo_id,station_name,status
UPT_TEST2_UHID99.X,-,-,-,Format tidak dikenali
D97560_2025041400_UQID55.X,-,-,-,Format tidak dikenali
P2096509D2025041400.X,-,-,-,Format tidak dikenali
UPT_TEST2_UGID99.X,-,-,-,Format tidak dikenali
D97560_2025041400.DAT,2025-04-14 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
T2096011A202504140000.X,2025-04-14 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2097502D202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2097502D202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
P2096011D202504140000.X,2025-04-14 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2096509B2025041400.X,-,-,-,Format tidak dikenali
P2096645A202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
UPT_TEST.X_UHID99.X,-,-,-,Format tidak dikenali
UPT_TEST_UPID99.X,-,-,-,Format tidak dikenali
PB96805_2025041400.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D97560_2025041400_UGID55.X,-,-,-,Format tidak dikenali
T2096147B202504140000.X,2025-04-14 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
P2097502C202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
UPT_TEST_UQID99.X,-,-,-,Format tidak dikenali
TES1.DAT,-,-,-,Format tidak dikenali
T2096645A202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
T2096509A2025041400.X,-,-,-,Format tidak dikenali
T2096509C2025041400.X,-,-,-,Format tidak dikenali
P2096147B202504140000.X,2025-04-14 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
UPT_TEST2_UPID99.X,-,-,-,Format tidak dikenali
T2096011B202504140000.X,2025-04-14 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
T2097502C202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
PA96805_2025041400GTS.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
P2096147D202504140000.X,2025-04-14 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
PC96805_2025041400GTS.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
T2096147A202504140000.X,2025-04-14 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D97560_2025041400_USID55.X,-,-,-,Format tidak dikenali
D96237_2025041400.DAT,2025-04-14 00:00,96237,WIKK_Stasiun Meteorologi Depati Amir,Dikenali
UPT_TEST.X,-,-,-,Format tidak dikenali
T2096645D202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
UPT_TEST2_UQID99.X,-,-,-,Format tidak dikenali
UPT_TEST2_UEID99.X,-,-,-,Format tidak dikenali
D96935_2025041400.DAT,2025-04-14 00:00,96935,WARR_Stasiun Meteorologi Juanda,Dikenali
P2096509C2025041400.X,-,-,-,Format tidak dikenali
TES1.X,-,-,-,Format tidak dikenali
UPT_TEST_UHID99.X,-,-,-,Format tidak dikenali
UPT_TEST_UGID99.X,-,-,-,Format tidak dikenali
D97560_2025041400.X,2025-04-14 00:00,97560,WABB_Stasiun Meteorologi Frans Kaisiepo,Dikenali
UPT_TEST.X_UEID99.X,-,-,-,Format tidak dikenali
D97560_2025041400_ULID55.X,-,-,-,Format tidak dikenali
P2096509B2025041400.X,-,-,-,Format tidak dikenali
D96035_2025041400.DAT,2025-04-14 00:00,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
P2096147A202504140000.X,2025-04-14 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
P2096509A2025041400.X,-,-,-,Format tidak dikenali
UPT_TEST2_USID99.X,-,-,-,Format tidak dikenali
TA96805_2025041400.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
UPT_TEST_UEID99.X,-,-,-,Format tidak dikenali
TC96805_2025041400GTS.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
T2096011D202504140000.X,2025-04-14 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
P2096645D202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
TB96805_2025041400GTS.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96237_2025041400.X,2025-04-14 00:00,96237,WIKK_Stasiun Meteorologi Depati Amir,Dikenali
D97180_2025041400.X,2025-04-14 00:00,97180,WAAA_Stasiun Meteorologi Sultan Hasanuddin,Dikenali
UPT_TEST.X_UPID99.X,-,-,-,Format tidak dikenali
D97724_2025041400.X,2025-04-14 00:00,97724,WAPP_Stasiun Meteorologi Pattimura,Dikenali
D97560_2025041400_UPID55.X,-,-,-,Format tidak dikenali
T2096645B202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2097502A202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
D96581_2025041400.DAT,2025-04-14 00:00,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
T2096645C202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
D97014_2025041400.X,2025-04-14 00:00,97014,WAMM_Stasiun Meteorologi Sam Ratulangi,Dikenali
P2096645C202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
P2096645B202504140000.DAT,2025-04-14 00:00,96645,WAGI_Stasiun Meteorologi Iskandar,Dikenali
UPT_TEST.X_UQID99.X,-,-,-,Format tidak dikenali
T2096509D2025041400.X,-,-,-,Format tidak dikenali
TA96805_2025041400GTS.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
UPT_TEST2_ULID99.X,-,-,-,Format tidak dikenali
T2097502B202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
T2096147C202504140000.X,2025-04-14 00:00,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
T2097502A202504140000.X,2025-04-14 00:00,97502,WASS_Stasiun Meteorologi Domine Eduard Osok,Dikenali
PB96805_2025041400GTS.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
UPT_TEST_ULID99.X,-,-,-,Format tidak dikenali
UPT_TEST_USID99.X,-,-,-,Format tidak dikenali
P2096011B202504140000.X,2025-04-14 00:00,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
PD96805_2025041400GTS.DAT,2025-04-14 00:00,96805,WIIL_Stasiun Meteorologi Tunggul Wulung,Dikenali
D96581_2025041400.X,2025-04-14 00:00,96581,WIOO_Stasiun Meteorologi Supadio,Dikenali
