filename,wmoid,date,station_name
P2096147A202503260000.DAT,96147,202503260000,Unknown
D96035_2025040700.DAT,96035,202504070000,Unknown
D97980_2025032700.DAT,97980,202503270000,Unknown
D97560_2025032200.DAT,97560,202503220000,Unknown
D97014_2025041500.X,97014,202504150000,Unknown
D96935_2025032000IUKG.BIN,96935,202503200000,Unknown
D97900_2025030400IUKG.BIN,97900,202503040000,Unknown
T2096645C202504020000.DAT,96645,202504020000,Unknown
D97890_2025030700IUKG.BIN,97890,202503070000,Unknown
P2096011C202503290000.DAT,96011,202503290000,Unknown
P2097502A202504040000.DAT,97502,202504040000,Unknown
P2097502D202504140000.X,97502,202504140000,Unknown
D97014_2025031100IUKG.BIN,97014,202503110000,Unknown
D96685_2025032000IUKG.BIN,96685,202503200000,Unknown
D96935_2025032500IUSG.BIN,96935,202503250000,Unknown
P2096645A202503290000.DAT,96645,202503290000,Unknown
D97014_2025040900IUSG.BIN,97014,202504090000,Unknown
P2096011B202504090000.DAT,96011,202504090000,Unknown
T2096011A202504160000.X,96011,202504160000,Unknown
D97724_2025041100.DAT,97724,202504110000,Unknown
P2096011D202504140000.X,96011,202504140000,Unknown
P2096147C202503250000.DAT,96147,202503250000,Unknown
D97372_2025032800IUSG.BIN,97372,202503280000,Unknown
D97014_2025031000IUSG.BIN,97014,202503100000,Unknown
D97014_2025032500IUKG.BIN,97014,202503250000,Unknown
D96749_2025010600.DAT,96749,202501060000,Unknown
P2096147D202503240000.DAT,96147,202503240000,Unknown
D97890_2025030600IUSG.BIN,97890,202503060000,Unknown
T2096011D202504040000.DAT,96011,202504040000,Unknown
T2097502A202504050000.DAT,97502,202504050000,Unknown
P2096645A202503260000.DAT,96645,202503260000,Unknown
D97980_2025040500.DAT,97980,202504050000,Unknown
D97072_2025032200.DAT,97072,202503220000,Unknown
P2096645B202503270000.DAT,96645,202503270000,Unknown
D96253_2025041000IUKG.BIN,96253,202504100000,Unknown
T2096147C202504010000.DAT,96147,202504010000,Unknown
D97372_2025030400.DAT,97372,202503040000,Unknown
P2097502A202504130000.X,97502,202504130000,Unknown
D96237_2025032400IUSG.BIN,96237,202503240000,Unknown
T2096147A202504160000.X,96147,202504160000,Unknown
D96935_2025031900.DAT,96935,202503190000,Unknown
D96935_2025033100IUSG.BIN,96935,202503310000,Unknown
D97560_2025033000.DAT,97560,202503300000,Unknown
T2096147C202504040000.DAT,96147,202504040000,Unknown
P2096011D202504050000.DAT,96011,202504050000,Unknown
D97372_2025041300.X,97372,202504130000,Unknown
D96237_2025031700IUSG.BIN,96237,202503170000,Unknown
D97724_2025030300.DAT,97724,202503030000,Unknown
P2097502C202503310000.DAT,97502,202503310000,Unknown
D96035_2025041300.DAT,96035,202504130000,Unknown
D96035_2025031000IUSG.BIN,96035,202503100000,Unknown
D97072_2025041500IUKG.BIN,97072,202504150000,Unknown
D96935_2025041300.DAT,96935,202504130000,Unknown
T2096147B202504100000.DAT,96147,202504100000,Unknown
T2097502C202504120000.X,97502,202504120000,Unknown
T2096011D202503230000.DAT,96011,202503230000,Unknown
P2096147D202503290000.DAT,96147,202503290000,Unknown
D97014_2025040300.DAT,97014,202504030000,Unknown
D96035_2025030500.DAT,96035,202503050000,Unknown
T2096805B202504020000.DAT,96805,202504020000,Unknown
P2096147A202503280000.DAT,96147,202503280000,Unknown
D96935_2025030500IUKG.BIN,96935,202503050000,Unknown
P2097502C202503260000.DAT,97502,202503260000,Unknown
P2096805C202503260000.DAT,96805,202503260000,Unknown
D96935_2025032500IUKG.BIN,96935,202503250000,Unknown
T2096645A202503290000.DAT,96645,202503290000,Unknown
D96935_2025030900IUKG.BIN,96935,202503090000,Unknown
D96253_2025040600IUKG.BIN,96253,202504060000,Unknown
P2097502C202504080000.DAT,97502,202504080000,Unknown
D97980_2025032900.DAT,97980,202503290000,Unknown
P2096805D202504040000.DAT,96805,202504040000,Unknown
P2096011C202503310000.DAT,96011,202503310000,Unknown
P2096805B202504060000.DAT,96805,202504060000,Unknown
D97980_2025040500IUSG.BIN,97980,202504050000,Unknown
D96035_2025030800IUKG.BIN,96035,202503080000,Unknown
P2096805D202503250000.DAT,96805,202503250000,Unknown
P2097502B202503230000.DAT,97502,202503230000,Unknown
