file_name,wmo_id,station_name,status
D96011_202501261200.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501261200.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501270000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501270000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501271200.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501271200.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501280000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501280000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501281200.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501281200.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501290000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501290000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501291200.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501291200.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501301200.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501301200.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501310000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202501310000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502010000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502010000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
